name,scientific_name,description,image_url,rarity,card_image_url
Axolotl,Ambystoma mavortium,"The barred tiger salamander or western tiger salamander (Ambystoma mavortium) is a species of mole salamander found from southwestern Canada in British Columbia, Alberta, Saskatchewan, and Manitoba, south through the western United States to Texas and northern Mexico.",https://upload.wikimedia.org/wikipedia/commons/f/f6/AxolotlBE.jpg,legendary,/img/Ambystoma_mavortium.png
Monarch,Danaus plexippus,"The monarch butterfly or simply monarch (Danaus plexippus) is a milkweed butterfly (subfamily Danainae) in the family Nymphalidae. Other common names depending on region include milkweed, common tiger, wanderer, and black veined brown.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Monarch_Butterfly_Danaus_plexippus_on_Milkweed_Hybrid_2800px.jpg/640px-Monarch_Butterfly_Danaus_plexippus_on_Milkweed_Hybrid_2800px.jpg,epic,/img/Danaus_plexippus.png
Vaquita,Phocoena sinus,"The vaquita is a species of porpoise endemic to the northern end of the Gulf of California in Baja California, Mexico.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Vaquita7_Olson_NOAA.jpg/640px-Vaquita7_Olson_NOAA.jpg,epic,/img/Phocoena_sinus.png
Rattlesnake,Crotalus Linnaeus,Rattlesnakes are venomous snakes that form the genera Crotalus and Sistrurus of the subfamily Crotalinae.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Grand_Canyon_pink_rattlesnake.jpg/640px-Grand_Canyon_pink_rattlesnake.jpg,epic,/img/Crotalus_Linnaeus.png
Leatherback sea turtle,Dermochelys coriacea,"The leatherback sea turtle, sometimes called the lute turtle or leathery turtle or simply the luth, is the largest of all living turtles",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Close_up_of_dermochelys_coriacea_leatherback_turtle.jpg/640px-Close_up_of_dermochelys_coriacea_leatherback_turtle.jpg,epic,/img/Dermochelys_coriacea.png
Mexican wolf,Canis lupus baileyi,"The Mexican wolf, also known as the lobo, is a subspecies of gray wolf",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Canis_lupus_baileyi_running.jpg/640px-Canis_lupus_baileyi_running.jpg ,rare,/img/Canis_lupus_baileyi.png
Scarlet macaw,Ara macao macao,"The scarlet macaw is a large red, yellow, and blue Central and South American parrot",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Scarlet_macaw_%28Ara_scarlatta%2C_Ara_macao%29.jpg/640px-Scarlet_macaw_%28Ara_scarlatta%2C_Ara_macao%29.jpg,rare,/img/Ara_macao_macao.png
Sea cucumber,Isostichopus fuscus,"They are marine animals with a leathery skin and an elongated body containing a single, branched gonad.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Actinopyga_echinites1.jpg/640px-Actinopyga_echinites1.jpg,rare,/img/Isostichopus_fuscus.png
Golden Eagle,Aquila chrysaetos,One of the best-known birds of prey in the Northern Hemisphere. It is the most widely distributed species of eagle.,https://upload.wikimedia.org/wikipedia/commons/c/c6/Chrysaetos_La_Ca%C3%B1ada_20120114_1.jpg,rare,/img/Aquila_chrysaetos.png
Jaguar,Panthera onca,The jaguar is a large cat species and the only living member of the genus Panthera native to the Americas.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/On%C3%A7a_do_Pantanal.jpg/640px-On%C3%A7a_do_Pantanal.jpg,rare,/img/Panthera_onca.png
Pygmy spotted skunk,Spilogale pygmaea,The pygmy spotted skunk is a species of mammal in the family Mephitidae.,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Spilogale_putorius_%282%29.jpg/640px-Spilogale_putorius_%282%29.jpg,rare,/img/Spilogale_pygmaea.png
Mexican Caecilian,Dermophis mexicanus,The Mexican burrowing caecilian is a species of limbless amphibian in the family Dermophiidae.,https://upload.wikimedia.org/wikipedia/commons/d/d4/Dermophis_mexicanus.jpg,rare,/img/Dermophis_mexicanus.png
Totoaba,Totoaba macdonaldi,"The totoaba or totuava is a species of marine fish, a very large member of the drum family",https://upload.wikimedia.org/wikipedia/commons/a/a0/Totoaba.jpg?20210904183932,rare,/img/Totoaba_macdonaldi.png
Coahuilan Box Turtle,Terrapene coahuila,"The Coahuilan box turtle or aquatic box turtle, is an endangered species of turtle in the Emydidae family. Unlike the other members of the genus Terrapene, this turtle spends roughly 90% of its time in water.",https://upload.wikimedia.org/wikipedia/commons/0/0b/Amphibians-and-reptiles-of-the-state-of-Coahuila-Mexico-with-comparison-with-adjoining-states-zookeys-593-117-g002.jpg,rare,/img/Terrapene_coahuila.png
